date,home_team,away_team,home_score,away_score,status
2025-04-19T16:00:00Z,AC Monza,SSC Napoli,0,1,FINISHED
2025-04-19T18:45:00Z,AS Roma,Hellas Verona FC,1,0,FINISHED
2025-04-20T13:00:00Z,Empoli FC,Venezia FC,2,2,FINISHED
2025-04-20T16:00:00Z,Bologna FC 1909,FC Internazionale Milano,1,0,FINISHED
2025-04-20T18:45:00Z,AC Milan,Atalanta BC,0,1,FINISHED
2025-04-23T16:30:00Z,Cagliari Calcio,ACF Fiorentina,1,2,FINISHED
2025-04-23T16:30:00Z,Genoa CFC,SS Lazio,0,2,FINISHED
2025-04-23T16:30:00Z,Parma Calcio 1913,Juventus FC,1,0,FINISHED
2025-04-23T16:30:00Z,Torino FC,Udinese Calcio,2,0,FINISHED
2025-04-27T10:30:00Z,Como 1907,Genoa CFC,1,0,FINISHED
2025-04-27T10:30:00Z,Venezia FC,AC Milan,0,2,FINISHED
2025-04-27T13:00:00Z,ACF Fiorentina,Empoli FC,2,1,FINISHED
2025-04-27T13:00:00Z,FC Internazionale Milano,AS Roma,0,1,FINISHED
2025-04-27T16:00:00Z,Juventus FC,AC Monza,2,0,FINISHED
2025-04-27T18:45:00Z,Atalanta BC,US Lecce,1,1,FINISHED
2025-04-27T18:45:00Z,SSC Napoli,Torino FC,2,0,FINISHED
2025-04-28T16:30:00Z,Udinese Calcio,Bologna FC 1909,0,0,FINISHED
2025-04-28T18:45:00Z,Hellas Verona FC,Cagliari Calcio,0,2,FINISHED
